Numéro de l'élément	Groupe	Nom scientifique	Nom commun (a completer)	Statut provincial
Amphibiens	3	Desmognathus fuscus	salamandre sombre du Nord	Susceptible
Amphibiens	4	Desmognathus ochrophaeus pop. 2	salamandre sombre des montagnes, pop. des Appalaches	Menacée
Amphibiens	17067	Gyrinophilus porphyriticus pop. 2	salamandre pourpre, pop. des Adirondacks et des Appalaches	Vulnérable
Amphibiens	7	Hemidactylium scutatum	salamandre à quatre orteils	Susceptible
Amphibiens	18	Lithobates palustris	grenouille des marais	Susceptible
Amphibiens	15	Pseudacris maculata	rainette faux-grillon boréale	Susceptible
Amphibiens	13	Pseudacris triseriata	rainette faux-grillon de l'Ouest	Menacée
Bryophytes	1626	Acaulon muticum var. muticum	acaulon mutique	Susceptible
Bryophytes	1628	Aloina brevirostris	aloina à bec court	Susceptible
Bryophytes	1637	Andreaea crassinervia	lanterne à nervure épaisse	Susceptible
Bryophytes	1638	Andreaea nivalis	lanterne des neiges	Susceptible
Bryophytes	17050	Aneura maxima	grand aneura	Susceptible
Bryophytes	1405	Anthoceros agrestis	anthocérote des champs	Susceptible
Bryophytes	1649	Aongstroemia longipes	branchette dressée	Susceptible
Bryophytes	1568	Apopellia endiviifolia	pellie ramifiée	Susceptible
Bryophytes	1654	Arctoa anderssonii	faux-dicrane arctique	Susceptible
Bryophytes	1417	Asterella tenella	astérelle délicate	Susceptible
Bryophytes	1663	Aulacomnium androgynum	petite aulacomnie	Susceptible
Bryophytes	17121	Biantheridion undulifolium	sylphide ondulée	Susceptible
Bryophytes	1698	Brachythecium glaciale	buissonnette des neiges	Susceptible
Bryophytes	1684	Brachythecium latifolium	buissonnette à feuilles larges	Susceptible
Bryophytes	1700	Bruchia flexuosa	bruchie flexueuse	Susceptible
Bryophytes	15045	Bryum demaretianum	bryum des champs	Susceptible
Bryophytes	17109	Bryum elegans	bryum élégant	Susceptible
Bryophytes	15071	Bryum gemmiparum	bryum gemmipare	Susceptible
Bryophytes	1713	Bryum knowltonii	bryum nordique	Susceptible
Bryophytes	1715	Bryum longisetum	bryum à soie longue	Susceptible
Bryophytes	15266	Bryum marratii	bryum furtif	Susceptible
Bryophytes	15072	Bryum rubens	bryum à tubercules rouges	Susceptible
Bryophytes	1739	Bryum warneum	bryum marin	Susceptible
Bryophytes	17112	Buxbaumia piperi	gnome mat	Susceptible
Bryophytes	16552	Campylophyllum sommerfeltii	campylie ambiguë	Susceptible
Bryophytes	1761	Campylopus schimperi	torpied arctique	Susceptible
Bryophytes	6829	Campylostelium saxicola	servan des rochers	Susceptible
Bryophytes	17113	Cephaloziella rubella var. sullivantii	céphalozielle bois-pourri	Susceptible
Bryophytes	15348	Cephaloziella uncinata	céphalozielle à crochets	Susceptible
Bryophytes	1764	Ceratodon heterophyllus	cératodon varié	Susceptible
Bryophytes	1765	Cinclidium latifolium	mnie à feuilles larges	Susceptible
Bryophytes	1418	Clevea hyalina	morgane évanescente	Susceptible
Bryophytes	1769	Climacium americanum	climacie méridionale	Susceptible
Bryophytes	1776	Ctenidium subrectifolium	hypne papilleuse	Susceptible
Bryophytes	1781	Cynodontium glaucescens	cynodonte glauque	Susceptible
Bryophytes	1778	Cynodontium schisti	cynodonte arctique	Susceptible
Bryophytes	1794	Dichelyma uncinatum	fontinale à feuilles arquées	Susceptible
Bryophytes	1801	Dicranella palustris	dicranelle des marais	Susceptible
Bryophytes	15073	Dicranella staphylina	dicranelle des champs	Susceptible
Bryophytes	1807	Dicranodontium denudatum	dicranodonte effeuillé	Susceptible
Bryophytes	1841	Didymodon maschalogena	pixie arctique	Susceptible
Bryophytes	15347	Diplophyllum obtusatum	fausse-scapanie obtuse	Susceptible
Bryophytes	1843	Discelium nudum	discélie nue	Susceptible
Bryophytes	1850	Ditrichum pallidum	ditric pâle	Susceptible
Bryophytes	1760	Drepanocladus arcticus	faucillette arctique	Susceptible
Bryophytes	1863	Encalypta affinis subsp. affinis	éteignoir des neiges	Susceptible
Bryophytes	1867	Encalypta brevipes	petit éteignoir	Susceptible
Bryophytes	1869	Encalypta longicollis	éteignoir à long col	Susceptible
Bryophytes	16566	Endogemma caespiticia	jongermanne grégaire	Susceptible
Bryophytes	1876	Ephemerum serratum	éphémère à feuilles dentées	Susceptible
Bryophytes	16625	Eremonotus myriocarpus	fausse-céphalozielle cuivrée	Susceptible
Bryophytes	1884	Fissidens exilis	fissident mince	Susceptible
Bryophytes	1885	Fissidens fontanus	fissident des sources	Susceptible
Bryophytes	30008	Fissidens grandifrons	fissident raide	Susceptible
Bryophytes	1886	Fissidens obtusifolius	fissident à feuilles obtuses	Susceptible
Bryophytes	6839	Fissidens subbasilaris	fissident obscur	Susceptible
Bryophytes	17049	Forsstroemia trichomitria	hyade à chapeau poilu	Susceptible
Bryophytes	1479	Frullania brittoniae	frullanie papilleuse	Susceptible
Bryophytes	15349	Frullania inflata var. communis	frullanie enflée	Susceptible
Bryophytes	15043	Frullania riparia	frullanie des rochers	Susceptible
Bryophytes	1443	Fuscocephaloziopsis catenulata subsp. catenulata	céphalozie chaînon	Susceptible
Bryophytes	1449	Fuscocephaloziopsis macrostachya var. macrostachya	célaphozie des marais	Susceptible
Bryophytes	1916	Grimmia atrata	grimmie du cuivre	Susceptible
Bryophytes	6842	Grimmia crinitoleucophaea	grimmie ventripotente	Susceptible
Bryophytes	1915	Grimmia elongata	grimmie élancée	Susceptible
Bryophytes	1904	Grimmia incurva	grimmie noire	Susceptible
Bryophytes	1906	Grimmia mollis	grimmie à feuilles molles	Susceptible
Bryophytes	1907	Grimmia olneyi	grimmie col-de-cygne	Susceptible
Bryophytes	1909	Grimmia pilifera	grimmie porte-poil	Susceptible
Bryophytes	1910	Grimmia sessitana	grimmie ambiguë	Susceptible
Bryophytes	1911	Grimmia teretinervis	grimmie à nervure cylindrique	Susceptible
Bryophytes	1913	Grimmia trichophylla	grimmie à feuilles aristées	Susceptible
Bryophytes	1485	Gymnocolea inflata subsp. acutiloba	gobelin à lobes aigus	Susceptible
Bryophytes	15058	Gymnomitrion obtusum	gymnomitrion à lobes obtus	Susceptible
Bryophytes	1548	Gymnomitrion revolutum	marsupelle révolutée	Susceptible
Bryophytes	1490	Harpanthus drummondii	harpanthe bois-pourri	Susceptible
Bryophytes	6845	Hygroamblystegium noterophilum	amblystégie à pointe raide	Susceptible
Bryophytes	1493	Hygrobiella laxifolia	hygrobielle à feuilles lâches	Susceptible
Bryophytes	1941	Hygrohypnum montanum	riverine des montagnes	Susceptible
Bryophytes	1940	Hygrohypnum subeugyrium	riverine ovale	Susceptible
Bryophytes	30009	Hyophila involuta	hyophile à feuilles enroulées	Susceptible
Bryophytes	17118	Hypnum andoi	hypne apprimée	Susceptible
Bryophytes	1946	Hypnum callichroum	hypne lustrée	Susceptible
Bryophytes	1496	Jungermannia atrovirens	jongermanne vert foncé	Susceptible
Bryophytes	1505	Jungermannia polaris	jongermanne polaire	Susceptible
Bryophytes	1967	Kiaeria falcata	faux-dicrane faucille	Susceptible
Bryophytes	1975	Leskea obscura	leskée obscure	Susceptible
Bryophytes	1537	Lophozia silvicola	lophozie des forêts	Susceptible
Bryophytes	1536	Lophozia ventricosa var. uliginosa	lophozie des sphaignes	Susceptible
Bryophytes	1540	Mannia fragrans	mannie odorante	Susceptible
Bryophytes	1416	Mannia gracilis	astérelle gracieuse	Susceptible
Bryophytes	1541	Mannia pilosa	mannie poilue	Susceptible
Bryophytes	15063	Marchantia polymorpha subsp. montivagans	marchantie des montagnes	Susceptible
Bryophytes	30021	Marsupella aquatica	marsupelle aquatique	Susceptible
Bryophytes	16626	Marsupella boeckii	marsupelle fausse-céphalozielle	Susceptible
Bryophytes	1546	Marsupella condensata	marsupelle pressée	Susceptible
Bryophytes	1549	Marsupella sparsifolia	marsupelle arrondie	Susceptible
Bryophytes	1519	Mesoptychia bantriensis	lophozie trompeuse	Susceptible
Bryophytes	17095	Microlejeunea ulicina	collier des fées	Susceptible
Bryophytes	15052	Micromitrium tenerum	éphémère délicat	Susceptible
Bryophytes	17125	Moerckia blyttii‏	collerette des montagnes	Susceptible
Bryophytes	1561	Nardia insecta	nardie bilobée	Susceptible
Bryophytes	1562	Nardia scalaris	nardie échelonnée	Susceptible
Bryophytes	15044	Notothylas orbicularis	anthocérote orbiculaire	Susceptible
Bryophytes	30014	Odontoschisma sphagni	vénusté des sphaignes	Susceptible
Bryophytes	1998	Oligotrichum falcatum	polytric à feuilles falciformes	Susceptible
Bryophytes	2003	Orthothecium chryseon var. cochleariifolium	stylite cuillère	Susceptible
Bryophytes	2010	Orthotrichum pallens	houppe pâle	Susceptible
Bryophytes	2255	Pelekium minutulum	thuidie minuscule	Susceptible
Bryophytes	2021	Phascum cuspidatum	phasque à feuilles cuspidées	Susceptible
Bryophytes	2029	Physcomitrella patens	korrigan à feuilles étalées	Susceptible
Bryophytes	2240	Plagiomnium curvatulum	mnie recourbée	Susceptible
Bryophytes	2039	Plagiothecium piliferum	satinette porte-poil	Susceptible
Bryophytes	2293	Platylomella lescurii	leskée marginée	Susceptible
Bryophytes	6863	Pohlia melanodon	pohlie à dents noires	Susceptible
Bryophytes	2073	Polytrichastrum ohioense	polytric méridional	Susceptible
Bryophytes	1858	Pseudocalliergon brevifolium	pseudocalliergon à feuilles courtes	Susceptible
Bryophytes	2081	Pseudoleskea patens	leskée étalée	Susceptible
Bryophytes	15076	Pseudoleskea stenophylla	leskée à feuilles étroites	Susceptible
Bryophytes	2088	Psilopilum cavifolium	polytric à feuilles concaves	Susceptible
Bryophytes	2091	Pterygoneurum ovatum	nisse ovale	Susceptible
Bryophytes	2099	Racomitrium canescens subsp. latifolium	frangine à feuilles larges	Susceptible
Bryophytes	2106	Racomitrium elongatum	frangine élancée	Susceptible
Bryophytes	2105	Racomitrium panschii	frangine arctique	Susceptible
Bryophytes	2281	Rhizomnium andrewsianum	mnie ondulée	Susceptible
Bryophytes	2110	Rhytidiadelphus loreus	ébouriffe lanière	Susceptible
Bryophytes	30007	Riccia beyrichiana	riccie frangée	Susceptible
Bryophytes	1587	Riccia bifurca	riccie fourchue	Susceptible
Bryophytes	15048	Riccia cavernosa	riccie caverneuse	Susceptible
Bryophytes	1589	Riccia frostii	riccie à marges rouges	Susceptible
Bryophytes	15049	Riccia rhenana	riccie précieuse	Susceptible
Bryophytes	15050	Riccia sorocarpa	riccie grisâtre	Susceptible
Bryophytes	1621	Saccobasis polita	tritomaire élégante	Susceptible
Bryophytes	15077	Sanionia orthothecioides	faucillette faux-stylite	Susceptible
Bryophytes	1592	Sauteria alpina	sautérie alpine	Susceptible
Bryophytes	1594	Scapania carinthiaca var. carinthiaca	scapanie bois-pourri	Susceptible
Bryophytes	1599	Scapania glaucocephala var. glaucocephala	scapanie glauque	Susceptible
Bryophytes	1603	Scapania irrigua subsp. rufescens	scapanie des plages	Susceptible
Bryophytes	15067	Scapania kaurinii	scapanie inusitée	Susceptible
Bryophytes	1604	Scapania ligulifolia	scapanie à feuilles ligulées	Susceptible
Bryophytes	30013	Scapania pseudocalcicola	scapanie calcicole	Susceptible
Bryophytes	1611	Scapania scandica	scapanie à petites feuilles	Susceptible
Bryophytes	17133	Schistidium atrichum	grimmie glabre	Susceptible
Bryophytes	15351	Schistidium crassipilum	grimmie à soie épaisse	Susceptible
Bryophytes	15356	Schistidium cryptocarpum	grimmie à capsule cachée	Susceptible
Bryophytes	15352	Schistidium flexipile	grimmie variable	Susceptible
Bryophytes	15359	Schistidium frigidum	grimmie des montagnes	Susceptible
Bryophytes	15353	Schistidium grandirete	grimmie rougeâtre	Susceptible
Bryophytes	2266	Schistidium holmenianum	grimmie des tourbières	Susceptible
Bryophytes	15361	Schistidium pulchrum	grimmie ravissante	Susceptible
Bryophytes	15355	Schistidium venetum	grimmie azurée	Susceptible
Bryophytes	1524	Schistochilopsis grandiretis	lophozie à ventre noir	Susceptible
Bryophytes	6871	Seligeria brevifolia	séligérie à feuilles courtes	Susceptible
Bryophytes	2125	Seligeria diversifolia	séligérie à feuilles variées	Susceptible
Bryophytes	2123	Seligeria recurvata	séligérie à soie courbée	Susceptible
Bryophytes	2129	Sphagnum aongstroemii	sphaigne d'Angström	Susceptible
Bryophytes	17134	Sphagnum austinii	sphaigne d'Austin	Susceptible
Bryophytes	16560	Sphagnum mirum	sphaigne étrange	Susceptible
Bryophytes	2143	Sphagnum molle	sphaigne molle	Susceptible
Bryophytes	15084	Sphagnum orientale	sphaigne orientale	Susceptible
Bryophytes	17081	Sphagnum perfoliatum	sphaigne perfoliée	Susceptible
Bryophytes	15053	Sphagnum rubiginosum	sphaigne panachée	Susceptible
Bryophytes	2155	Sphagnum strictum	sphaigne dressée	Susceptible
Bryophytes	2179	Splachnum pensylvanicum	splanc étroit	Susceptible
Bryophytes	6880	Stegonia latifolia var. latifolia	stégonie à feuilles larges	Susceptible
Bryophytes	17137	Stegonia latifolia var. pilifera	stégonie porte-poil	Susceptible
Bryophytes	2184	Tayloria acuminata	taylorie acuminée 	Susceptible
Bryophytes	2188	Tayloria splachnoides	taylorie faux-splanc	Susceptible
Bryophytes	2196	Tetraplodon pallidus	tétraplodon pâle	Susceptible
Bryophytes	2189	Tetrodontium brownianum	quadrident variable	Susceptible
Bryophytes	17045	Tetrodontium ovatum	quadrident ovale	Susceptible
Bryophytes	17046	Tetrodontium repandum	quadrident ondulé	Susceptible
Bryophytes	2198	Thelia asprella	thélie papilleuse	Susceptible
Bryophytes	2199	Thelia hirtella	thélie hirsute	Susceptible
Bryophytes	2207	Timmia norvegica var. excurrens	timmie à nervure excurrente	Susceptible
Bryophytes	2208	Timmia sibirica	timmie papilleuse	Susceptible
Bryophytes	2214	Tortella inclinata	tortelle inclinée	Susceptible
Bryophytes	30004	Tortula laureri	tortule de Laurer	Susceptible
Bryophytes	1787	Tortula leucostoma	tortule blanche	Susceptible
Bryophytes	6865	Tortula nevadensis	tortule édentée	Susceptible
Bryophytes	2222	Trichostomum arcticum	trichostome arctique	Susceptible
Bryophytes	15059	Tritomaria capitata	lophozie des sables	Susceptible
Bryophytes	1530	Tritomaria laxa	lophozie lâche	Susceptible
Bryophytes	1624	Tritomaria quinquedentata subsp. turgida	tritomaire enflée	Susceptible
Bryophytes	1655	Weissia muhlenbergiana	weissie à capsule immergée	Susceptible
Bryophytes	1656	Weissia phascopsis	weissie faux-phasque	Susceptible
Bryophytes	2232	Zygodon rupestris	houppe des rochers	Susceptible
Embryophytes	2301	Acer nigrum	érable noir	Vulnérable
Embryophytes	2418	Achillea alpina subsp. multiflora	achillée multiflore	Susceptible
Embryophytes	3858	Agastache nepetoides	agastache faux-népéta	Susceptible
Embryophytes	2420	Agoseris aurantiaca var. aurantiaca	agoséride orangée	Susceptible
Embryophytes	4366	Agrimonia pubescens	aigremoine pubescente	Susceptible
Embryophytes	17143	Alchemilla alpina	alchémille des Alpes	Susceptible
Embryophytes	4370	Alchemilla filicaulis subsp. vestita	alchémille vêtue	Candidate
Embryophytes	5663	Allium tricoccum	ail des bois	Vulnérable
Embryophytes	2949	Alnus serrulata	aulne tendre	Susceptible
Embryophytes	17349	Amaranthus tuberculatus var. tuberculatus	amarante tuberculée	Candidate
Embryophytes	4390	Amelanchier amabilis	amélanchier gracieux	Susceptible
Embryophytes	6261	Anchistea virginica	woodwardie de Virginie	Susceptible
Embryophytes	2990	Andersonglossum boreale	cynoglosse boréale	Susceptible
Embryophytes	2444	Antennaria parlinii subsp. parlinii	antennaire de Parlin	Candidate
Embryophytes	2440	Antennaria rosea subsp. confinis	antennaire des frontières	Susceptible
Embryophytes	5720	Aplectrum hyemale	aplectrelle d'hiver	Menacée
Embryophytes	5093	Arisaema dracontium	arisème dragon	Menacée
Embryophytes	7809	Aristida basiramea	aristide à rameaux basilaires	Menacée
Embryophytes	2468	Arnica chamissonis	arnica de Chamisso	Susceptible
Embryophytes	2479	Arnica griscomii subsp. griscomii	arnica de Griscom	Menacée
Embryophytes	17101	Arnica lanceolata subsp. lanceolata -p03, p05, p12	arnica à aigrette brune	Vulnérable
Embryophytes	2499	Artemisia tilesii	armoise de Tilesius	Susceptible
Embryophytes	2404	Asclepias exaltata	asclépiade très grande	Susceptible
Embryophytes	2409	Asclepias tuberosa var. interior	asclépiade de l'intérieur	Menacée
Embryophytes	6246	Aspidotis densa	aspidote touffue	Menacée
Embryophytes	6252	Asplenium platyneuron	doradille ébène	Susceptible
Embryophytes	6254	Asplenium rhizophyllum	doradille ambulante	Susceptible
Embryophytes	6256	Asplenium ruta-muraria var. cryptolepis	doradille des murailles d'Amérique	Menacée
Embryophytes	3657	Astragalus americanus	astragale d'Amérique	Susceptible
Embryophytes	3663	Astragalus australis var. glabriusculus	astragale austral	Susceptible
Embryophytes	3662	Astragalus robbinsii var. fernaldii	astragale de Fernald	Menacée
Embryophytes	3773	Bartonia virginica	bartonie de Virginie	Susceptible
Embryophytes	2590	Bidens heterodoxa	bident différent	Susceptible
Embryophytes	3862	Blephilia hirsuta	bléphilie hirsute	Susceptible
Embryophytes	3039	Boechera collinsii	arabette de Collins	Susceptible
Embryophytes	3045	Boechera quebecensis	arabette du Québec	Menacée
Embryophytes	3024	Borodinia canadensis	arabette du Canada	Susceptible
Embryophytes	3040	Borodinia laevigata	arabette lisse	Susceptible
Embryophytes	13565	Botrychium ascendens	botryche ascendant	Susceptible
Embryophytes	6380	Botrychium campestre var. lineare	botryche linéaire	Susceptible
Embryophytes	31151	Botrychium crenulatum	botryche crénelé	Candidate
Embryophytes	13564	Botrychium michiganense	botryche du Michigan	Susceptible
Embryophytes	6376	Botrychium mormo	botryche petit-lutin	Susceptible
Embryophytes	6381	Botrychium pallidum	botryche pâle	Susceptible
Embryophytes	14079	Botrychium pedunculosum	botryche pédonculé	Susceptible
Embryophytes	14950	Botrychium pinnatum	botryche à lobes obtus	Susceptible
Embryophytes	6382	Botrychium spathulatum	botryche à segments spatulés	Susceptible
Embryophytes	3061	Braya humilis subsp. humilis	braya délicat	Susceptible
Embryophytes	17099	Braya linearis	braya à fruits linéaires	Susceptible
Embryophytes	5850	Bromus pubescens	brome pubescent	Susceptible
Embryophytes	5865	Calamagrostis pickeringii	calamagrostide de Pickering	Candidate
